State,County,AveragePop2015to2019,TotalVets,MaleVets,FemaleVets,WhiteVets,BlackVets,HispanicVets,OtherRaceVets,LessThanHSVets,HighSchOnlyVets,SomeCollegeVets,CollegeDegreeVets,EmployeedVets,UnemployeedVets
AL,Autauga,55379.8,5272,4599,672,4429,509,294,59,158,1099,1667,2346,4562,187
AL,Baldwin,212830,19663,18118,1544,17819,1054,283,575,710,5438,7211,6302,14733,674
AL,Barbour,25360.8,1328,1222,104,790,495,14,41,163,529,487,147,660,132
AL,Bibb,22492.6,1433,1373,59,1133,264,33,0,98,783,319,230,815,0
AL,Blount,57680.8,3417,3136,281,3221,44,102,102,398,1152,1321,544,2204,249
AL,Bullock,10248,267,238,28,74,192,0,0,15,80,134,36,167,0
AL,Butler,19828.2,1011,928,83,626,366,0,19,52,284,462,212,622,119
AL,Calhoun,114617.6,9661,8810,850,7206,2023,204,280,671,2676,4202,2110,6847,417
AL,Chambers,33660.4,2102,1843,258,1368,661,39,33,366,576,811,346,1602,32
AL,Cherokee,25903,1883,1801,82,1797,80,0,5,204,730,647,298,1602,7
AL,Chilton,44055.4,2543,2292,250,2012,342,95,115,224,1299,710,309,1784,75
AL,Choctaw,12924.6,889,837,51,513,375,0,0,120,456,259,53,448,61
AL,Clarke,24128.2,1174,1026,147,759,388,23,21,163,365,457,186,745,136
AL,Clay,13337.4,632,601,30,566,56,0,9,11,253,224,141,390,0
AL,Cleburne,14916.2,697,636,59,682,2,0,12,90,227,266,112,522,32
AL,Coffee,51662,6285,5431,853,4870,911,372,216,328,1134,2721,2099,5091,238
AL,Colbert,54770.8,3843,3590,251,3034,625,22,171,231,1554,1431,625,2823,51
AL,Conecuh,12393.6,575,451,123,431,143,0,0,115,174,167,117,441,0
AL,Coosa,10756.6,931,813,117,652,267,9,0,46,339,333,210,621,15
AL,Covington,37200.4,2898,2643,255,2665,181,28,36,312,1083,882,619,1950,168
AL,Crenshaw,13844.2,709,657,52,585,95,0,28,69,271,264,102,517,0
AL,Cullman,82852.8,5150,4551,598,4930,67,12,141,458,1798,2233,659,3274,465
AL,Dale,49276.8,5793,5056,736,4118,1240,323,267,246,1669,2488,1388,4412,136
AL,Dallas,39148.8,1807,1693,114,697,1067,32,27,144,599,795,268,1202,47
AL,DeKalb,71309.6,3382,2997,384,3231,26,34,115,468,1094,1186,631,2166,120
AL,Elmore,81143.6,6594,5552,1041,5248,933,68,352,318,1620,2435,2219,4674,248
AL,Escambia,37057.2,2118,1922,195,1457,470,28,162,174,865,775,302,1293,413
AL,Etowah,102747.8,6797,6213,584,5766,862,17,160,425,2162,2932,1276,4899,375
AL,Fayette,16494.4,1087,1016,71,946,126,0,14,61,537,267,220,507,0
AL,Franklin,31465.6,1330,1174,155,1125,48,78,113,223,396,611,98,760,54
AL,Geneva,26417.4,2382,2204,177,2095,180,93,36,212,793,895,478,1602,23
AL,Greene,8324,457,298,158,110,346,0,0,53,152,215,33,62,0
AL,Hale,14808.8,809,716,92,380,428,0,0,105,422,158,122,576,125
AL,Henry,17133.2,1247,1070,176,906,303,29,19,99,380,490,276,737,0
AL,Houston,104701.6,7889,7171,718,5986,1586,115,242,384,1982,3498,2023,5716,315
AL,Jackson,51851.6,2772,2630,141,2518,128,2,122,312,860,1172,426,1994,185
AL,Jefferson,659679.8,36789,33120,3668,19250,16751,297,643,2038,9748,15000,10000,25912,2199
AL,Lamar,13884.8,757,722,35,674,35,0,48,77,317,238,123,469,0
AL,Lauderdale,92556.2,6002,5583,417,5246,471,125,165,359,2217,1952,1473,4130,183
AL,Lawrence,33058,1533,1451,81,1269,140,2,119,192,579,588,173,1012,24
AL,Lee,161152,9950,9002,948,6741,2417,448,425,689,2173,4012,3074,6825,468
AL,Limestone,94726.8,7168,6506,661,6247,603,180,199,340,2181,2553,2092,5073,71
AL,Lowndes,10079,300,258,41,105,195,0,0,36,132,48,81,109,0
AL,Macon,18707.6,1345,1197,147,373,932,15,23,103,378,442,420,824,225
AL,Madison,362276.2,32813,28372,4440,24033,6720,943,1270,1054,5464,9979,16314,26484,1463
AL,Marengo,19321.2,946,907,39,463,471,3,7,202,255,303,186,557,0
AL,Marion,29866,1385,1371,14,1353,13,0,17,146,464,562,209,1014,0
AL,Marshall,95642.8,5904,5481,422,5623,32,132,159,581,1652,2354,1314,4149,329
AL,Mobile,414114,28181,25305,2875,18168,8318,912,979,2016,8793,10668,6702,20231,1598
AL,Monroe,21270,1336,1214,121,793,386,20,135,63,585,489,196,699,10
AL,Montgomery,226940.8,16668,14071,2596,7319,8645,215,545,759,3453,5843,6611,11733,449
AL,Morgan,119212.6,7465,6877,587,6346,786,139,254,546,2464,2530,1925,5148,281
AL,Perry,9293.4,405,370,33,195,209,0,0,17,273,39,74,66,0
AL,Pickens,20243,1202,1084,116,700,467,3,33,133,516,379,171,760,32
AL,Pike,33333,1917,1751,164,1249,509,62,129,295,561,719,340,1332,119
AL,Randolph,22646.8,1373,1239,133,1114,236,19,3,127,387,641,216,773,53
AL,Russell,57951.8,5817,4770,1046,2597,2833,243,218,352,1388,2804,1270,3872,280
AL,St. Clair,87988.8,6296,5848,448,5475,493,107,267,321,2304,2636,1034,3768,149
AL,Shelby,213431.8,12648,11578,1069,10723,1492,171,290,430,2354,4445,5416,10765,163
AL,Sumter,12796.6,481,436,44,154,311,7,14,9,197,162,111,322,0
AL,Talladega,80387.4,5252,4866,384,3725,1273,88,252,539,1627,2123,961,3281,367
AL,Tallapoosa,40541.2,2787,2655,131,2224,524,2,36,215,914,926,730,1638,382
AL,Tuscaloosa,207304.6,10059,8847,1211,6980,2880,121,120,623,3075,3700,2658,6825,349
AL,Walker,64109.8,3882,3674,207,3578,216,10,75,371,1703,1270,536,2349,191
AL,Washington,16540.6,961,897,63,478,364,6,111,30,437,364,129,515,24
AL,Wilcox,10680.6,382,369,12,246,129,0,5,36,133,139,74,133,0
AL,Winston,23783.8,1376,1339,36,1292,8,31,44,149,700,371,153,656,0
AK,Aleutians East,3384.6,144,134,9,67,0,9,72,20,42,51,29,126,7
AK,Aleutians West,5697.8,283,271,10,153,35,19,84,1,102,118,61,268,1
AK,Anchorage,293531,26958,23082,3875,19566,2075,1681,4330,450,5252,12210,9044,21989,1206
AK,Bethel,18134.4,631,599,31,126,15,2,486,91,320,166,51,441,87
AK,Bristol Bay,878.2,78,68,9,63,0,3,9,0,33,37,8,62,7
AK,Denali,2040.2,132,121,10,125,0,0,6,0,27,76,26,104,2
AK,Dillingham,4961,141,141,0,64,0,0,76,14,46,33,46,121,18
AK,Fairbanks North Star,99071.6,11305,9214,2090,8239,1164,998,1201,253,2316,5862,2871,9232,323
AK,Haines,2517.8,170,170,0,124,0,0,45,0,72,89,8,162,4
AK,Hoonah-Angoon,2139,198,194,3,100,17,6,75,7,79,77,33,156,29
AK,Juneau ,32227.2,2336,2098,237,1916,21,78,319,78,424,921,912,1873,50
AK,Kenai Peninsula,58463.8,4979,4650,328,4491,27,17,458,249,1365,2378,985,3370,460
AK,Ketchikan Gateway,13800,1090,960,129,859,15,15,205,51,377,377,283,854,44
AK,Kodiak Island,13451,1064,838,225,751,0,170,244,82,170,552,258,980,58
AK,Kusilvak,8249.6,237,221,15,7,0,0,229,38,123,65,10,170,39
AK,Lake and Peninsula,1599,61,57,3,18,0,0,40,7,22,16,14,55,14
AK,Matanuska-Susitna,105369,10560,9254,1305,9188,216,388,858,429,2598,4822,2709,7726,636
AK,Nome,9988.2,394,348,45,127,0,16,251,51,116,150,75,358,41
AK,North Slope,9791.8,509,470,39,348,34,8,122,48,201,139,120,488,4
AK,Northwest Arctic,7714.6,286,267,18,116,24,9,146,21,81,118,64,253,36
AK,Petersburg,3257.4,298,288,8,267,2,11,17,12,132,65,87,273,0
AK,Prince of Wales-Hyder,6406.8,445,411,32,266,4,0,175,9,174,172,88,338,39
