,State,County,Latitude,Longitude,AveragePop2015to2019
0,AL,Alabama,32.6010112,-86.6807365,4876244.8
1,AL,Autauga,32.6010112,-86.6807365,55379.8
2,AL,Baldwin,32.6010112,-86.6807365,212830.0
3,AL,Barbour,32.6010112,-86.6807365,25360.8
4,AL,Bibb,32.6010112,-86.6807365,22492.6
5,AL,Blount,32.6010112,-86.6807365,57680.8
6,AL,Bullock,32.6010112,-86.6807365,10248.0
7,AL,Butler,32.6010112,-86.6807365,19828.2
8,AL,Calhoun,32.6010112,-86.6807365,114617.6
9,AL,Chambers,32.6010112,-86.6807365,33660.4
10,AL,Cherokee,32.6010112,-86.6807365,25903.0
11,AL,Chilton,32.6010112,-86.6807365,44055.4
12,AL,Choctaw,32.6010112,-86.6807365,12924.6
13,AL,Clarke,32.6010112,-86.6807365,24128.2
14,AL,Clay,32.6010112,-86.6807365,13337.4
15,AL,Cleburne,32.6010112,-86.6807365,14916.2
16,AL,Coffee,32.6010112,-86.6807365,51662.0
17,AL,Colbert,32.6010112,-86.6807365,54770.8
18,AL,Conecuh,32.6010112,-86.6807365,12393.6
19,AL,Coosa,32.6010112,-86.6807365,10756.6
20,AL,Covington,32.6010112,-86.6807365,37200.4
21,AL,Crenshaw,32.6010112,-86.6807365,13844.2
22,AL,Cullman,32.6010112,-86.6807365,82852.8
23,AL,Dale,32.6010112,-86.6807365,49276.8
24,AL,Dallas,32.6010112,-86.6807365,39148.8
25,AL,DeKalb,32.6010112,-86.6807365,71309.6
26,AL,Elmore,32.6010112,-86.6807365,81143.6
27,AL,Escambia,32.6010112,-86.6807365,37057.2
28,AL,Etowah,32.6010112,-86.6807365,102747.8
29,AL,Fayette,32.6010112,-86.6807365,16494.4
30,AL,Franklin,32.6010112,-86.6807365,31465.6
31,AL,Geneva,32.6010112,-86.6807365,26417.4
32,AL,Greene,32.6010112,-86.6807365,8324.0
33,AL,Hale,32.6010112,-86.6807365,14808.8
34,AL,Henry,32.6010112,-86.6807365,17133.2
35,AL,Houston,32.6010112,-86.6807365,104701.6
36,AL,Jackson,32.6010112,-86.6807365,51851.6
37,AL,Jefferson,32.6010112,-86.6807365,659679.8
38,AL,Lamar,32.6010112,-86.6807365,13884.8
39,AL,Lauderdale,32.6010112,-86.6807365,92556.2
40,AL,Lawrence,32.6010112,-86.6807365,33058.0
41,AL,Lee,32.6010112,-86.6807365,161152.0
42,AL,Limestone,32.6010112,-86.6807365,94726.8
43,AL,Lowndes,32.6010112,-86.6807365,10079.0
44,AL,Macon,32.6010112,-86.6807365,18707.6
45,AL,Madison,32.6010112,-86.6807365,362276.2
46,AL,Marengo,32.6010112,-86.6807365,19321.2
