,State,County,Latitude,Longitude,AveragePop2015to2019
0,AL,Alabama,32.6010112,-86.6807365,4876244
1,AL,Autauga,32.6010112,-86.6807365,55379
2,AL,Baldwin,32.6010112,-86.6807365,212830
3,AL,Barbour,32.6010112,-86.6807365,25360
4,AL,Bibb,32.6010112,-86.6807365,22492
5,AL,Blount,32.6010112,-86.6807365,57680
6,AL,Bullock,32.6010112,-86.6807365,10248
7,AL,Butler,32.6010112,-86.6807365,19828
8,AL,Calhoun,32.6010112,-86.6807365,114617
9,AL,Chambers,32.6010112,-86.6807365,33660
10,AL,Cherokee,32.6010112,-86.6807365,25903
11,AL,Chilton,32.6010112,-86.6807365,44055
12,AL,Choctaw,32.6010112,-86.6807365,12924
13,AL,Clarke,32.6010112,-86.6807365,24128
14,AL,Clay,32.6010112,-86.6807365,13337
15,AL,Cleburne,32.6010112,-86.6807365,14916
16,AL,Coffee,32.6010112,-86.6807365,51662
17,AL,Colbert,32.6010112,-86.6807365,54770
18,AL,Conecuh,32.6010112,-86.6807365,12393
19,AL,Coosa,32.6010112,-86.6807365,10756
20,AL,Covington,32.6010112,-86.6807365,37200
21,AL,Crenshaw,32.6010112,-86.6807365,13844
22,AL,Cullman,32.6010112,-86.6807365,82852
23,AL,Dale,32.6010112,-86.6807365,49276
24,AL,Dallas,32.6010112,-86.6807365,39148
25,AL,DeKalb,32.6010112,-86.6807365,71309
26,AL,Elmore,32.6010112,-86.6807365,81143
27,AL,Escambia,32.6010112,-86.6807365,37057
28,AL,Etowah,32.6010112,-86.6807365,102747
29,AL,Fayette,32.6010112,-86.6807365,16494
30,AL,Franklin,32.6010112,-86.6807365,31465
31,AL,Geneva,32.6010112,-86.6807365,26417
32,AL,Greene,32.6010112,-86.6807365,8324
33,AL,Hale,32.6010112,-86.6807365,14808
34,AL,Henry,32.6010112,-86.6807365,17133
35,AL,Houston,32.6010112,-86.6807365,104701
36,AL,Jackson,32.6010112,-86.6807365,51851
37,AL,Jefferson,32.6010112,-86.6807365,659679
38,AL,Lamar,32.6010112,-86.6807365,13884
39,AL,Lauderdale,32.6010112,-86.6807365,92556
40,AL,Lawrence,32.6010112,-86.6807365,33058
41,AL,Lee,32.6010112,-86.6807365,161152
42,AL,Limestone,32.6010112,-86.6807365,94726
43,AL,Lowndes,32.6010112,-86.6807365,10079
44,AL,Macon,32.6010112,-86.6807365,18707
45,AL,Madison,32.6010112,-86.6807365,362276
46,AL,Marengo,32.6010112,-86.6807365,19321
47,AL,Marion,32.6010112,-86.6807365,29866
48,AL,Marshall,32.6010112,-86.6807365,95642
49,AL,Mobile,32.6010112,-86.6807365,414114
50,AL,Monroe,32.6010112,-86.6807365,21270
51,AL,Montgomery,32.6010112,-86.6807365,226940
52,AL,Morgan,32.6010112,-86.6807365,119212
53,AL,Perry,32.6010112,-86.6807365,9293
54,AL,Pickens,32.6010112,-86.6807365,20243
55,AL,Pike,32.6010112,-86.6807365,33333
56,AL,Randolph,32.6010112,-86.6807365,22646
57,AL,Russell,32.6010112,-86.6807365,57951
58,AL,St. Clair,32.6010112,-86.6807365,87988
59,AL,Shelby,32.6010112,-86.6807365,213431
60,AL,Sumter,32.6010112,-86.6807365,12796
61,AL,Talladega,32.6010112,-86.6807365,80387
62,AL,Tallapoosa,32.6010112,-86.6807365,40541
63,AL,Tuscaloosa,32.6010112,-86.6807365,207304
64,AL,Walker,32.6010112,-86.6807365,64109
65,AL,Washington,32.6010112,-86.6807365,16540
66,AL,Wilcox,32.6010112,-86.6807365,10680
67,AL,Winston,32.6010112,-86.6807365,23783
68,AK,Alaska,61.3025006,-158.7750198,737067
69,AK,Aleutians East,61.3025006,-158.7750198,3384
70,AK,Aleutians West,61.3025006,-158.7750198,5697
71,AK,Anchorage,61.3025006,-158.7750198,293531
72,AK,Bethel,61.3025006,-158.7750198,18134
73,AK,Bristol Bay,61.3025006,-158.7750198,878
74,AK,Denali,61.3025006,-158.7750198,2040
75,AK,Dillingham,61.3025006,-158.7750198,4961
76,AK,Fairbanks North Star,61.3025006,-158.7750198,99071
77,AK,Haines,61.3025006,-158.7750198,2517
78,AK,Hoonah-Angoon,61.3025006,-158.7750198,2139
79,AK,Juneau ,61.3025006,-158.7750198,32227
80,AK,Kenai Peninsula,61.3025006,-158.7750198,58463
81,AK,Ketchikan Gateway,61.3025006,-158.7750198,13800
82,AK,Kodiak Island,61.3025006,-158.7750198,13451
83,AK,Kusilvak,61.3025006,-158.7750198,8249
84,AK,Lake and Peninsula,61.3025006,-158.7750198,1599
85,AK,Matanuska-Susitna,61.3025006,-158.7750198,105369
86,AK,Nome,61.3025006,-158.7750198,9988
87,AK,North Slope,61.3025006,-158.7750198,9791
88,AK,Northwest Arctic,61.3025006,-158.7750198,7714
89,AK,Petersburg,61.3025006,-158.7750198,3257
90,AK,Prince of Wales-Hyder,61.3025006,-158.7750198,6406
91,AK,Sitka ,61.3025006,-158.7750198,8640
92,AK,Skagway,61.3025006,-158.7750198,1147
93,AK,Southeast Fairbanks,61.3025006,-158.7750198,6878
94,AK,Valdez-Cordova,61.3025006,-158.7750198,9243
95,AK,Wrangell ,61.3025006,-158.7750198,2502
96,AK,Yakutat ,61.3025006,-158.7750198,604
97,AK,Yukon-Koyukuk,61.3025006,-158.7750198,5377
98,AZ,Arizona,34.1682185,-111.930907,7050299
99,AZ,Apache,34.1682185,-111.930907,71511
100,AZ,Cochise,34.1682185,-111.930907,125867
101,AZ,Coconino,34.1682185,-111.930907,141273
102,AZ,Gila,34.1682185,-111.930907,53546
103,AZ,Graham,34.1682185,-111.930907,37996
104,AZ,Greenlee,34.1682185,-111.930907,9521
105,AZ,La Paz,34.1682185,-111.930907,20793
106,AZ,Maricopa,34.1682185,-111.930907,4328809
107,AZ,Mohave,34.1682185,-111.930907,207695
108,AZ,Navajo,34.1682185,-111.930907,109270
109,AZ,Pima,34.1682185,-111.930907,1027206
110,AZ,Pinal,34.1682185,-111.930907,432793
111,AZ,Santa Cruz,34.1682185,-111.930907,46480
112,AZ,Yavapai,34.1682185,-111.930907,228066
113,AZ,Yuma,34.1682185,-111.930907,209467
114,AR,Arkansas,34.7519275,-92.1313784,2999369
115,AR,Arkansas,34.7519275,-92.1313784,17913
116,AR,Ashley,34.7519275,-92.1313784,20269
117,AR,Baxter,34.7519275,-92.1313784,41426
118,AR,Benton,34.7519275,-92.1313784,265759
119,AR,Boone,34.7519275,-92.1313784,37330
120,AR,Bradley,34.7519275,-92.1313784,10874
121,AR,Calhoun,34.7519275,-92.1313784,5192
122,AR,Carroll,34.7519275,-92.1313784,27965
123,AR,Chicot,34.7519275,-92.1313784,10615
124,AR,Clark,34.7519275,-92.1313784,22386
125,AR,Clay,34.7519275,-92.1313784,14889
126,AR,Cleburne,34.7519275,-92.1313784,25100
127,AR,Cleveland,34.7519275,-92.1313784,8128
128,AR,Columbia,34.7519275,-92.1313784,23775
129,AR,Conway,34.7519275,-92.1313784,20858
130,AR,Craighead,34.7519275,-92.1313784,107345
131,AR,Crawford,34.7519275,-92.1313784,62739
