,State,County,TotalPopEst2015,TotalPopEst2016,TotalPopEst2017,TotalPopEst2018,TotalPopEst2019,AveragePop2015to2019
1,AL,Alabama,4852347,4863525,4874486,4887681,4903185,4876244.8
2,AL,Autauga,54864,55243,55390,55533,55869,55379.8
3,AL,Baldwin,202939,207601,212521,217855,223234,212830.0
4,AL,Barbour,26283,25806,25157,24872,24686,25360.8
5,AL,Bibb,22566,22586,22550,22367,22394,22492.6
6,AL,Blount,57526,57494,57787,57771,57826,57680.8
7,AL,Bullock,10400,10389,10176,10174,10101,10248.0
8,AL,Butler,20162,20012,19888,19631,19448,19828.2
9,AL,Calhoun,115469,114973,114710,114331,113605,114617.6
10,AL,Chambers,33996,33745,33707,33600,33254,33660.4
11,AL,Cherokee,25732,25768,25805,26014,26196,25903.0
12,AL,Chilton,43700,43866,44120,44163,44428,44055.4
13,AL,Choctaw,13231,13045,12925,12833,12589,12924.6
14,AL,Clarke,24698,24340,24063,23918,23622,24128.2
15,AL,Clay,13415,13393,13350,13294,13235,13337.4
16,AL,Cleburne,14914,14848,14899,15010,14910,14916.2
17,AL,Coffee,50963,51202,51853,51950,52342,51662.0
18,AL,Colbert,54417,54497,54695,55004,55241,54770.8
19,AL,Conecuh,12678,12500,12431,12292,12067,12393.6
20,AL,Coosa,10934,10819,10724,10643,10663,10756.6
21,AL,Covington,37556,37382,37062,36953,37049,37200.4
22,AL,Crenshaw,13850,13916,13858,13825,13772,13844.2
23,AL,Cullman,81761,82450,82867,83418,83768,82852.8
24,AL,Dale,49365,49362,49342,49143,49172,49276.8
25,AL,Dallas,40936,40080,39238,38294,37196,39148.8
26,AL,DeKalb,71087,71104,71437,71407,71513,71309.6
27,AL,Elmore,80872,81204,81422,81011,81209,81143.6
28,AL,Escambia,37661,37475,36993,36524,36633,37057.2
29,AL,Etowah,102998,102855,103007,102611,102268,102747.8
30,AL,Fayette,16696,16563,16466,16445,16302,16494.4
31,AL,Franklin,31515,31611,31542,31298,31362,31465.6
32,AL,Geneva,26631,26494,26385,26306,26271,26417.4
33,AL,Greene,8508,8482,8310,8209,8111,8324.0
34,AL,Hale,15015,14828,14801,14749,14651,14808.8
35,AL,Henry,17101,17072,17115,17173,17205,17133.2
36,AL,Houston,104260,104218,104378,104770,105882,104701.6
37,AL,Jackson,52195,51988,51828,51621,51626,51851.6
38,AL,Jefferson,660455,660343,659599,659429,658573,659679.8
39,AL,Lamar,13927,13928,13882,13882,13805,13884.8
40,AL,Lauderdale,92459,92425,92564,92604,92729,92556.2
41,AL,Lawrence,33135,33227,33063,32941,32924,33058.0
42,AL,Lee,156954,159168,161440,163656,164542,161152.0
43,AL,Limestone,91565,92847,94130,96177,98915,94726.8
44,AL,Lowndes,10350,10248,10097,9974,9726,10079.0
45,AL,Macon,19296,19060,18793,18321,18068,18707.6
46,AL,Madison,352977,356729,361762,367004,372909,362276.2
47,AL,Marengo,19766,19525,19396,19056,18863,19321.2
48,AL,Marion,30119,29960,29792,29750,29709,29866.0
49,AL,Marshall,94585,95113,95572,96170,96774,95642.8
50,AL,Mobile,414462,414945,414045,413908,413210,414114.0
51,AL,Monroe,21717,21548,21290,21062,20733,21270.0
52,AL,Montgomery,227279,227170,227265,226504,226486,226940.8
53,AL,Morgan,119257,119006,118918,119203,119679,119212.6
54,AL,Perry,9640,9532,9302,9070,8923,9293.4
55,AL,Pickens,20776,20325,20204,19980,19930,20243.0
56,AL,Pike,33496,33464,33349,33242,33114,33333.0
57,AL,Randolph,22594,22504,22687,22727,22722,22646.8
58,AL,Russell,58844,58185,56985,57784,57961,57951.8
59,AL,St. Clair,86546,87306,87926,88654,89512,87988.8
60,AL,Shelby,208959,211282,213633,215583,217702,213431.8
61,AL,Sumter,13206,12967,12749,12634,12427,12796.6
62,AL,Talladega,81128,80552,80142,80137,79978,80387.4
63,AL,Tallapoosa,40605,40586,40613,40535,40367,40541.2
64,AL,Tuscaloosa,204767,206464,207618,208319,209355,207304.6
65,AL,Walker,64931,64533,63895,63669,63521,64109.8
66,AL,Washington,16832,16621,16522,16402,16326,16540.6
67,AL,Wilcox,10896,10844,10691,10599,10373,10680.6
68,AL,Winston,23930,23907,23760,23693,23629,23783.8
69,AK,Alaska,737498,741456,739700,735139,731545,737067.6
70,AK,Aleutians East,3373,3363,3455,3395,3337,3384.6
71,AK,Aleutians West,5781,5705,5729,5640,5634,5697.8
72,AK,Anchorage,297547,297249,294338,290521,288000,293531.0
73,AK,Bethel,17955,18022,18090,18219,18386,18134.4
74,AK,Bristol Bay,904,902,869,880,836,878.2
75,AK,Denali,1933,2055,2084,2032,2097,2040.2
76,AK,Dillingham,4988,4970,4940,4991,4916,4961.0
77,AK,Fairbanks North Star,99636,100633,99675,98565,96849,99071.6
78,AK,Haines,2516,2531,2524,2488,2530,2517.8
79,AK,Hoonah-Angoon,2132,2121,2139,2155,2148,2139.0
80,AK,Juneau ,32615,32412,32098,32037,31974,32227.2
81,AK,Kenai Peninsula,58034,58458,58558,58561,58708,58463.8
82,AK,Ketchikan Gateway,13702,13707,13834,13856,13901,13800.0
83,AK,Kodiak Island,13767,13728,13512,13250,12998,13451.0
84,AK,Kusilvak,8194,8181,8236,8323,8314,8249.6
85,AK,Lake and Peninsula,1595,1600,1612,1596,1592,1599.0
86,AK,Matanuska-Susitna,101062,104119,106232,107115,108317,105369.0
87,AK,Nome,9893,9966,10025,10053,10004,9988.2
88,AK,North Slope,9788,9694,9795,9850,9832,9791.8
89,AK,Northwest Arctic,7772,7691,7795,7694,7621,7714.6
90,AK,Petersburg,3253,3260,3264,3244,3266,3257.4
91,AK,Prince of Wales-Hyder,6508,6519,6444,6360,6203,6406.8
92,AK,Sitka ,8778,8736,8641,8554,8493,8640.4
93,AK,Skagway,1088,1132,1167,1169,1183,1147.8
94,AK,Southeast Fairbanks,6812,6857,6892,6937,6893,6878.2
95,AK,Valdez-Cordova,9319,9314,9220,9161,9202,9243.2
96,AK,Wrangell ,2453,2496,2521,2538,2502,2502.0
97,AK,Yakutat ,635,612,602,596,579,604.8
98,AK,Yukon-Koyukuk,5465,5423,5409,5359,5230,5377.2
99,AZ,Arizona,6829676,6941072,7044008,7158024,7278717,7050299.4
100,AZ,Apache,71012,71381,71545,71731,71887,71511.2
101,AZ,Cochise,126454,125686,124864,126411,125922,125867.4
102,AZ,Coconino,138962,140407,141001,142523,143476,141273.8
103,AZ,Gila,52978,53356,53578,53801,54018,53546.2
104,AZ,Graham,37860,37807,37481,37995,38837,37996.0
105,AZ,Greenlee,9577,9643,9443,9448,9498,9521.8
106,AZ,La Paz,20466,20648,20706,21039,21108,20793.4
107,AZ,Maricopa,4172905,4256143,4327184,4402403,4485414,4328809.8
108,AZ,Mohave,204574,205412,207017,209292,212181,207695.2
109,AZ,Navajo,107638,108467,109079,110242,110924,109270.0
110,AZ,Pima,1009103,1016707,1026391,1036554,1047279,1027206.8
111,AZ,Pinal,405614,417193,431564,446806,462789,432793.2
