,State,County,TotalVets,VeteranPopulationPct,MaleVetsPct,FemaleVetsPct,WhiteVetsPct,BlackVetsPct,HispanicVetsPct,OtherRaceVetsPct,LessThanHSVetsPct,HighSchOnlyVetsPct,SomeCollegeVetsPct,CollegeDegreeVetsPct,EmployeedVetsPct,UnemployeedVetsPct
1,AL,Alabama,330207.0,8.766780183,89.79428056,10.20571944,72.53419825,22.94560685,2.022064947,3.05959595,6.396034208,28.25718861,37.38536956,27.96140762,71.33051862,4.319786029
2,AL,Autauga,5272.0,12.63511084,87.25341426,12.74658574,84.02883156,9.673748103,5.57663126,1.119119879,3.0078125,20.859375,31.62109375,44.51171875,86.54934004,3.558460421
3,AL,Baldwin,19663.0,11.81549962,92.14768855,7.852311448,90.62198037,5.360321416,1.439251386,2.929359711,3.612916432,27.65979223,36.67673098,32.05056036,74.92770697,3.430531732
4,AL,Barbour,1328.0,6.622120275,92.09337349,7.906626506,59.56325301,37.34939759,1.054216868,3.087349398,12.34939759,39.83433735,36.74698795,11.06927711,49.75206612,9.966777409
5,AL,Bibb,1433.0,8.022617848,95.88276343,4.117236567,79.13468248,18.49267271,2.372644801,0.0,6.901509705,54.70884256,22.28612509,16.10352265,56.90140845,0.0
6,AL,Blount,3417.0,7.720812527,91.77641206,8.223587943,94.29323968,1.287679251,2.985074627,2.985074627,11.65590135,33.73458602,38.66705813,15.94245449,64.52830189,7.309941521
7,AL,Bullock,267.0,3.28817734,89.13857678,10.86142322,28.08988764,71.91011236,0.0,0.0,5.992509363,30.33707865,50.18726592,13.48314607,62.65060241,0.0
8,AL,Butler,1011.0,6.581174326,91.79030663,8.209693373,61.91889219,36.20178042,0.0,1.879327399,5.168986084,28.13121272,45.72564612,20.97415507,61.61879896,11.86440678
9,AL,Calhoun,9661.0,10.84311657,91.20173895,8.79826105,74.58855191,20.95021219,2.121933547,2.908601594,6.948072302,27.70870337,43.49597743,21.84724689,70.87433762,4.32576769
10,AL,Chambers,2102.0,7.907309183,87.72597526,12.27402474,65.08087536,31.49381541,1.855375833,1.569933397,17.45,27.45,38.6,16.5,76.21890547,1.566579635
11,AL,Cherokee,1883.0,9.115112789,95.64524695,4.354753054,95.48592671,4.248539565,0.0,0.265533723,10.88688263,38.82103027,34.41317047,15.87891662,85.0921273,0.393700787
12,AL,Chilton,2543.0,7.609216038,90.16909162,9.830908376,79.15847424,13.48800629,3.735745183,4.561541486,8.81074674,51.08652706,27.93362307,12.16910312,70.15926236,2.986857826
13,AL,Choctaw,889.0,8.612671963,94.15073116,5.849268841,57.70528684,42.29471316,0.0,0.0,13.51351351,51.35135135,29.16666667,5.968468469,50.43859649,6.956521739
14,AL,Clarke,1174.0,6.240365705,87.39352641,12.60647359,64.65076661,33.04940375,1.95911414,1.873935264,13.9693356,31.17546848,38.92674617,15.92844974,63.52739726,11.5902965
15,AL,Clay,632.0,5.985415286,95.09493671,4.905063291,89.71518987,8.860759494,0.0,1.424050633,1.898734177,40.03164557,35.60126582,22.46835443,61.77777778,0.0
16,AL,Cleburne,697.0,6.054025884,91.39167862,8.608321377,97.84791966,0.286944046,0.0,1.865136298,12.91248207,32.71162123,38.16355811,16.21233859,74.91961415,4.721030043
17,AL,Coffee,6285.0,16.39836147,86.42800318,13.57199682,77.50198886,14.49482896,5.934765314,3.436754177,5.234337252,18.05443711,43.30810114,33.4031245,81.0175186,3.791469194
18,AL,Colbert,3843.0,8.902840198,93.44262295,6.557377049,78.94873797,16.28935727,0.598490762,4.475670049,6.01997897,40.45741325,37.25026288,16.2723449,73.4672849,1.332398317
19,AL,Conecuh,575.0,5.873340143,78.60869565,21.39130435,75.13043478,24.86956522,0.0,0.0,20.14010508,30.29772329,29.07180385,20.49036778,76.86567164,0.0
20,AL,Coosa,931.0,10.42903551,87.3254565,12.6745435,70.1396348,28.78625134,1.074113856,0.0,5.027322404,36.50273224,35.84699454,22.62295082,66.79174484,1.685393258
21,AL,Covington,2898.0,9.988970081,91.20082816,8.799171843,91.99447895,6.245686681,1.000690131,1.242236025,10.8005521,37.40510697,30.43478261,21.35955832,67.29200653,5.818181818
22,AL,Crenshaw,709.0,6.638576779,92.66572638,7.334273625,82.51057828,13.39915374,0.0,4.090267983,9.871244635,38.34048641,37.33905579,14.44921316,73.04964539,0.0
23,AL,Cullman,5150.0,8.030187267,88.38834951,11.61165049,95.72815534,1.300970874,0.233009709,2.737864078,8.903576983,34.91446345,43.37091757,12.81104199,63.59111792,9.030704395
24,AL,Dale,5793.0,16.39126252,87.29501122,12.70498878,71.0857932,21.40514414,5.592957017,4.626273088,4.248539565,28.81926005,42.96335635,23.96884404,76.17230098,2.362204724
25,AL,Dallas,1807.0,6.082741441,93.69120089,6.308799115,38.57221915,59.0481461,1.77089098,1.494189264,7.984366276,33.16582915,43.99776661,14.85203797,66.53061224,2.607361963
26,AL,DeKalb,3382.0,6.28975265,88.64577173,11.35422827,95.56475458,0.798344175,1.034890597,3.40035482,13.85845425,32.36600533,35.09031685,18.68522357,64.06153846,3.554274736
27,AL,Elmore,6594.0,10.57052628,84.19775554,15.80224446,79.60266909,14.14922657,1.031240522,5.33818623,4.83002615,24.58083372,36.93277957,33.65636056,70.88639201,3.768932723
28,AL,Escambia,2118.0,7.36209114,90.74598678,9.25401322,68.83852691,22.19074599,1.322001889,7.648725213,8.251473477,40.86444008,36.5913556,14.29273084,61.09452736,19.54397394
29,AL,Etowah,6797.0,8.436456614,91.40797411,8.592025894,84.8462557,12.69677799,0.250110343,2.36869207,6.254609825,31.81885234,43.14795693,18.77858091,72.0836143,5.519176801
30,AL,Fayette,1087.0,8.360895316,93.46826127,6.531738731,87.02851886,11.59153634,0.0,1.379944802,5.703771849,49.40202392,24.56301748,20.33118675,46.6992665,0.0
31,AL,Franklin,1330.0,5.640373198,88.34586466,11.65413534,84.58646617,3.684210526,5.939849624,8.496240602,16.7673716,29.83383686,45.99697885,7.401812689,57.21003135,4.109589041
32,AL,Geneva,2382.0,11.58560311,92.56926952,7.430730479,87.95130143,7.556675063,3.904282116,1.511335013,8.942065491,33.33333333,37.6154492,20.10915197,67.29354047,0.972053463
33,AL,Greene,457.0,7.096273292,65.42669584,34.57330416,24.28884026,75.71115974,0.0,0.0,11.81619256,33.47921225,47.26477024,7.439824945,13.75,0.0
34,AL,Hale,809.0,7.143487859,88.50432633,11.49567367,47.09517923,52.90482077,0.0,0.0,13.03191489,52.2606383,19.54787234,15.15957447,71.30977131,15.45189504
35,AL,Henry,1247.0,9.217237046,85.8861267,14.1138733,72.73456295,24.29831596,2.405773857,1.603849238,7.990115321,30.47775947,39.37397035,22.15815486,59.10447761,0.0
36,AL,Houston,7889.0,9.840830277,90.89871974,9.101280264,75.87780454,20.1039422,1.470401825,3.067562429,4.876803268,25.12447338,44.35082344,25.64789991,72.46411483,3.994717729
37,AL,Jackson,2772.0,6.783642904,94.91341991,5.086580087,90.83694084,4.617604618,0.108225108,4.437229437,11.25827815,31.0522443,42.31052244,15.37895511,71.93923146,6.708074534
