,State,County
0,US,United States
1,AL,Alabama
2,AL,Autauga
3,AL,Baldwin
4,AL,Barbour
5,AL,Bibb
6,AL,Blount
7,AL,Bullock
8,AL,Butler
9,AL,Calhoun
10,AL,Chambers
11,AL,Cherokee
12,AL,Chilton
13,AL,Choctaw
14,AL,Clarke
15,AL,Clay
16,AL,Cleburne
17,AL,Coffee
18,AL,Colbert
19,AL,Conecuh
20,AL,Coosa
21,AL,Covington
22,AL,Crenshaw
23,AL,Cullman
24,AL,Dale
25,AL,Dallas
26,AL,DeKalb
27,AL,Elmore
28,AL,Escambia
29,AL,Etowah
30,AL,Fayette
31,AL,Franklin
32,AL,Geneva
33,AL,Greene
34,AL,Hale
35,AL,Henry
36,AL,Houston
37,AL,Jackson
38,AL,Jefferson
39,AL,Lamar
40,AL,Lauderdale
41,AL,Lawrence
42,AL,Lee
43,AL,Limestone
44,AL,Lowndes
45,AL,Macon
46,AL,Madison
47,AL,Marengo
48,AL,Marion
49,AL,Marshall
50,AL,Mobile
51,AL,Monroe
52,AL,Montgomery
53,AL,Morgan
54,AL,Perry
55,AL,Pickens
56,AL,Pike
57,AL,Randolph
58,AL,Russell
59,AL,St. Clair
60,AL,Shelby
61,AL,Sumter
62,AL,Talladega
63,AL,Tallapoosa
64,AL,Tuscaloosa
65,AL,Walker
66,AL,Washington
67,AL,Wilcox
68,AL,Winston
69,AK,Alaska
70,AK,Aleutian Islands
71,AK,Aleutians East
72,AK,Aleutians West
73,AK,Anchorage
74,AK,Bethel
75,AK,Bristol Bay
76,AK,Denali
77,AK,Dillingham
78,AK,Fairbanks North Star
79,AK,Haines
80,AK,Hoonah-Angoon
81,AK,Juneau 
82,AK,Kenai Peninsula
83,AK,Ketchikan Gateway
84,AK,Kodiak Island
85,AK,Kusilvak
86,AK,Lake and Peninsula
87,AK,Matanuska-Susitna
88,AK,Nome
89,AK,North Slope
90,AK,Northwest Arctic
91,AK,Petersburg
92,AK,Prince of Wales-Hyder
93,AK,Prince of Wales-Outer Ketchikan
94,AK,Sitka 
95,AK,Skagway
96,AK,Skagway-Hoonah-Angoon
97,AK,Southeast Fairbanks
98,AK,Valdez-Cordova
99,AK,Wrangell 
100,AK,Wrangell-Petersburg
101,AK,Yakutat 
102,AK,Yukon-Koyukuk
103,AZ,Arizona
104,AZ,Apache
105,AZ,Cochise
106,AZ,Coconino
107,AZ,Gila
108,AZ,Graham
109,AZ,Greenlee
110,AZ,La Paz
111,AZ,Maricopa
112,AZ,Mohave
113,AZ,Navajo
114,AZ,Pima
115,AZ,Pinal
116,AZ,Santa Cruz
117,AZ,Yavapai
118,AZ,Yuma
119,AR,Arkansas
120,AR,Arkansas
121,AR,Ashley
122,AR,Baxter
123,AR,Benton
124,AR,Boone
125,AR,Bradley
126,AR,Calhoun
127,AR,Carroll
128,AR,Chicot
129,AR,Clark
130,AR,Clay
131,AR,Cleburne
132,AR,Cleveland
133,AR,Columbia
134,AR,Conway
135,AR,Craighead
136,AR,Crawford
137,AR,Crittenden
138,AR,Cross
139,AR,Dallas
140,AR,Desha
141,AR,Drew
142,AR,Faulkner
143,AR,Franklin
144,AR,Fulton
145,AR,Garland
146,AR,Grant
147,AR,Greene
148,AR,Hempstead
149,AR,Hot Spring
150,AR,Howard
151,AR,Independence
152,AR,Izard
153,AR,Jackson
154,AR,Jefferson
155,AR,Johnson
156,AR,Lafayette
157,AR,Lawrence
158,AR,Lee
159,AR,Lincoln
160,AR,Little River
161,AR,Logan
162,AR,Lonoke
163,AR,Madison
164,AR,Marion
165,AR,Miller
166,AR,Mississippi
167,AR,Monroe
168,AR,Montgomery
169,AR,Nevada
170,AR,Newton
171,AR,Ouachita
172,AR,Perry
173,AR,Phillips
174,AR,Pike
175,AR,Poinsett
176,AR,Polk
177,AR,Pope
178,AR,Prairie
179,AR,Pulaski
180,AR,Randolph
181,AR,St. Francis
182,AR,Saline
183,AR,Scott
184,AR,Searcy
185,AR,Sebastian
186,AR,Sevier
187,AR,Sharp
188,AR,Stone
189,AR,Union
190,AR,Van Buren
191,AR,Washington
192,AR,White
193,AR,Woodruff
194,AR,Yell
195,CA,California
196,CA,Alameda
197,CA,Alpine
198,CA,Amador
199,CA,Butte
200,CA,Calaveras
201,CA,Colusa
202,CA,Contra Costa
203,CA,Del Norte
204,CA,El Dorado
205,CA,Fresno
206,CA,Glenn
207,CA,Humboldt
208,CA,Imperial
209,CA,Inyo
210,CA,Kern
211,CA,Kings
212,CA,Lake
213,CA,Lassen
214,CA,Los Angeles
215,CA,Madera
216,CA,Marin
217,CA,Mariposa
218,CA,Mendocino
219,CA,Merced
220,CA,Modoc
221,CA,Mono
222,CA,Monterey
223,CA,Napa
224,CA,Nevada
225,CA,Orange
226,CA,Placer
227,CA,Plumas
228,CA,Riverside
229,CA,Sacramento
230,CA,San Benito
231,CA,San Bernardino
232,CA,San Diego
233,CA,San Francisco
234,CA,San Joaquin
235,CA,San Luis Obispo
236,CA,San Mateo
237,CA,Santa Barbara
238,CA,Santa Clara
239,CA,Santa Cruz
240,CA,Shasta
241,CA,Sierra
242,CA,Siskiyou
243,CA,Solano
244,CA,Sonoma
245,CA,Stanislaus
246,CA,Sutter
247,CA,Tehama
248,CA,Trinity
249,CA,Tulare
250,CA,Tuolumne
251,CA,Ventura
252,CA,Yolo
253,CA,Yuba
254,CO,Colorado
255,CO,Adams
256,CO,Alamosa
257,CO,Arapahoe
258,CO,Archuleta
259,CO,Baca
260,CO,Bent
261,CO,Boulder
262,CO,Broomfield
263,CO,Chaffee
264,CO,Cheyenne
265,CO,Clear Creek
266,CO,Conejos
267,CO,Costilla
268,CO,Crowley
269,CO,Custer
270,CO,Delta
271,CO,Denver
272,CO,Dolores
273,CO,Douglas
274,CO,Eagle
275,CO,Elbert
276,CO,El Paso
277,CO,Fremont
278,CO,Garfield
279,CO,Gilpin
280,CO,Grand
281,CO,Gunnison
282,CO,Hinsdale
283,CO,Huerfano
284,CO,Jackson
285,CO,Jefferson
286,CO,Kiowa
287,CO,Kit Carson
288,CO,Lake
289,CO,La Plata
290,CO,Larimer
291,CO,Las Animas
292,CO,Lincoln
293,CO,Logan
294,CO,Mesa
295,CO,Mineral
296,CO,Moffat
297,CO,Montezuma
298,CO,Montrose
299,CO,Morgan
300,CO,Otero
301,CO,Ouray
302,CO,Park
303,CO,Phillips
304,CO,Pitkin
305,CO,Prowers
306,CO,Pueblo
307,CO,Rio Blanco
308,CO,Rio Grande
309,CO,Routt
310,CO,Saguache
311,CO,San Juan
312,CO,San Miguel
313,CO,Sedgwick
314,CO,Summit
315,CO,Teller
316,CO,Washington
317,CO,Weld
318,CO,Yuma
319,CT,Connecticut
320,CT,Fairfield
321,CT,Hartford
322,CT,Litchfield
323,CT,Middlesex
324,CT,New Haven
325,CT,New London
326,CT,Tolland
327,CT,Windham
328,DE,Delaware
329,DE,Kent
330,DE,New Castle
331,DE,Sussex
332,DC,District of Columbia
333,DC,District of Columbia
334,FL,Florida
335,FL,Alachua
336,FL,Baker
337,FL,Bay
338,FL,Bradford
339,FL,Brevard
340,FL,Broward
341,FL,Calhoun
342,FL,Charlotte
343,FL,Citrus
344,FL,Clay
345,FL,Collier
346,FL,Columbia
347,FL,DeSoto
348,FL,Dixie
349,FL,Duval
350,FL,Escambia
351,FL,Flagler
352,FL,Franklin
353,FL,Gadsden
354,FL,Gilchrist
355,FL,Glades
356,FL,Gulf
357,FL,Hamilton
358,FL,Hardee
359,FL,Hendry
360,FL,Hernando
361,FL,Highlands
362,FL,Hillsborough
363,FL,Holmes
364,FL,Indian River
365,FL,Jackson
366,FL,Jefferson
367,FL,Lafayette
368,FL,Lake
369,FL,Lee
370,FL,Leon
371,FL,Levy
372,FL,Liberty
373,FL,Madison
374,FL,Manatee
375,FL,Marion
376,FL,Martin
377,FL,Miami-Dade
378,FL,Monroe
379,FL,Nassau
380,FL,Okaloosa
381,FL,Okeechobee
382,FL,Orange
383,FL,Osceola
384,FL,Palm Beach
385,FL,Pasco
386,FL,Pinellas
387,FL,Polk
388,FL,Putnam
389,FL,St. Johns
390,FL,St. Lucie
391,FL,Santa Rosa
392,FL,Sarasota
393,FL,Seminole
394,FL,Sumter
395,FL,Suwannee
396,FL,Taylor
397,FL,Union
398,FL,Volusia
399,FL,Wakulla
400,FL,Walton
401,FL,Washington
402,GA,Georgia
403,GA,Appling
404,GA,Atkinson
405,GA,Bacon
406,GA,Baker
407,GA,Baldwin
408,GA,Banks
409,GA,Barrow
410,GA,Bartow
411,GA,Ben Hill
412,GA,Berrien
413,GA,Bibb
414,GA,Bleckley
415,GA,Brantley
416,GA,Brooks
417,GA,Bryan
418,GA,Bulloch
419,GA,Burke
420,GA,Butts
421,GA,Calhoun
422,GA,Camden
423,GA,Candler
424,GA,Carroll
425,GA,Catoosa
426,GA,Charlton
427,GA,Chatham
428,GA,Chattahoochee
429,GA,Chattooga
430,GA,Cherokee
431,GA,Clarke
432,GA,Clay
433,GA,Clayton
434,GA,Clinch
435,GA,Cobb
436,GA,Coffee
437,GA,Colquitt
438,GA,Columbia
439,GA,Cook
440,GA,Coweta
441,GA,Crawford
442,GA,Crisp
443,GA,Dade
444,GA,Dawson
445,GA,Decatur
446,GA,DeKalb
447,GA,Dodge
448,GA,Dooly
449,GA,Dougherty
450,GA,Douglas
451,GA,Early
452,GA,Echols
453,GA,Effingham
454,GA,Elbert
455,GA,Emanuel
456,GA,Evans
457,GA,Fannin
458,GA,Fayette
459,GA,Floyd
460,GA,Forsyth
461,GA,Franklin
462,GA,Fulton
463,GA,Gilmer
464,GA,Glascock
465,GA,Glynn
466,GA,Gordon
467,GA,Grady
468,GA,Greene
469,GA,Gwinnett
470,GA,Habersham
471,GA,Hall
472,GA,Hancock
473,GA,Haralson
474,GA,Harris
475,GA,Hart
476,GA,Heard
477,GA,Henry
478,GA,Houston
479,GA,Irwin
480,GA,Jackson
481,GA,Jasper
482,GA,Jeff Davis
483,GA,Jefferson
484,GA,Jenkins
485,GA,Johnson
486,GA,Jones
487,GA,Lamar
488,GA,Lanier
489,GA,Laurens
490,GA,Lee
491,GA,Liberty
492,GA,Lincoln
493,GA,Long
494,GA,Lowndes
495,GA,Lumpkin
496,GA,McDuffie
497,GA,McIntosh
498,GA,Macon
499,GA,Madison
500,GA,Marion
501,GA,Meriwether
502,GA,Miller
503,GA,Mitchell
504,GA,Monroe
505,GA,Montgomery
506,GA,Morgan
507,GA,Murray
508,GA,Muscogee
509,GA,Newton
510,GA,Oconee
511,GA,Oglethorpe
512,GA,Paulding
513,GA,Peach
514,GA,Pickens
515,GA,Pierce
516,GA,Pike
517,GA,Polk
518,GA,Pulaski
519,GA,Putnam
520,GA,Quitman
521,GA,Rabun
522,GA,Randolph
523,GA,Richmond
524,GA,Rockdale
525,GA,Schley
526,GA,Screven
527,GA,Seminole
528,GA,Spalding
529,GA,Stephens
530,GA,Stewart
531,GA,Sumter
532,GA,Talbot
533,GA,Taliaferro
534,GA,Tattnall
535,GA,Taylor
536,GA,Telfair
537,GA,Terrell
538,GA,Thomas
539,GA,Tift
540,GA,Toombs
541,GA,Towns
542,GA,Treutlen
543,GA,Troup
544,GA,Turner
545,GA,Twiggs
546,GA,Union
547,GA,Upson
548,GA,Walker
549,GA,Walton
550,GA,Ware
551,GA,Warren
552,GA,Washington
553,GA,Wayne
554,GA,Webster
555,GA,Wheeler
556,GA,White
557,GA,Whitfield
558,GA,Wilcox
559,GA,Wilkes
560,GA,Wilkinson
561,GA,Worth
562,HI,Hawaii
563,HI,Hawaii
564,HI,Honolulu
565,HI,Kalawao
566,HI,Kauai
567,HI,Maui
