,State,County,Latitude,Longitude,TotalVets,MaleVets,FemaleVets,WhiteVets,BlackVets,HispanicVets,OtherRaceVets,LessThanHSVets,HighSchOnlyVets,SomeCollegeVets,CollegeDegreeVets,EmployeedVets,UnemployeedVets
0,AL,Alabama,32.6010112,-86.6807365,330207,296507,33699,239513,75768,6676,10102,21120,93307,123449,92330,235538,14264
1,AL,Autauga,32.6010112,-86.6807365,5272,4599,672,4429,509,294,59,158,1099,1667,2346,4562,187
2,AL,Baldwin,32.6010112,-86.6807365,19663,18118,1544,17819,1054,283,575,710,5438,7211,6302,14733,674
3,AL,Barbour,32.6010112,-86.6807365,1328,1222,104,790,495,14,41,163,529,487,147,660,132
4,AL,Bibb,32.6010112,-86.6807365,1433,1373,59,1133,264,33,0,98,783,319,230,815,0
5,AL,Blount,32.6010112,-86.6807365,3417,3136,281,3221,44,102,102,398,1152,1321,544,2204,249
6,AL,Bullock,32.6010112,-86.6807365,267,238,28,74,192,0,0,15,80,134,36,167,0
7,AL,Butler,32.6010112,-86.6807365,1011,928,83,626,366,0,19,52,284,462,212,622,119
8,AL,Calhoun,32.6010112,-86.6807365,9661,8810,850,7206,2023,204,280,671,2676,4202,2110,6847,417
9,AL,Chambers,32.6010112,-86.6807365,2102,1843,258,1368,661,39,33,366,576,811,346,1602,32
10,AL,Cherokee,32.6010112,-86.6807365,1883,1801,82,1797,80,0,5,204,730,647,298,1602,7
11,AL,Chilton,32.6010112,-86.6807365,2543,2292,250,2012,342,95,115,224,1299,710,309,1784,75
12,AL,Choctaw,32.6010112,-86.6807365,889,837,51,513,375,0,0,120,456,259,53,448,61
13,AL,Clarke,32.6010112,-86.6807365,1174,1026,147,759,388,23,21,163,365,457,186,745,136
14,AL,Clay,32.6010112,-86.6807365,632,601,30,566,56,0,9,11,253,224,141,390,0
15,AL,Cleburne,32.6010112,-86.6807365,697,636,59,682,2,0,12,90,227,266,112,522,32
16,AL,Coffee,32.6010112,-86.6807365,6285,5431,853,4870,911,372,216,328,1134,2721,2099,5091,238
17,AL,Colbert,32.6010112,-86.6807365,3843,3590,251,3034,625,22,171,231,1554,1431,625,2823,51
18,AL,Conecuh,32.6010112,-86.6807365,575,451,123,431,143,0,0,115,174,167,117,441,0
19,AL,Coosa,32.6010112,-86.6807365,931,813,117,652,267,9,0,46,339,333,210,621,15
20,AL,Covington,32.6010112,-86.6807365,2898,2643,255,2665,181,28,36,312,1083,882,619,1950,168
21,AL,Crenshaw,32.6010112,-86.6807365,709,657,52,585,95,0,28,69,271,264,102,517,0
22,AL,Cullman,32.6010112,-86.6807365,5150,4551,598,4930,67,12,141,458,1798,2233,659,3274,465
23,AL,Dale,32.6010112,-86.6807365,5793,5056,736,4118,1240,323,267,246,1669,2488,1388,4412,136
24,AL,Dallas,32.6010112,-86.6807365,1807,1693,114,697,1067,32,27,144,599,795,268,1202,47
25,AL,DeKalb,32.6010112,-86.6807365,3382,2997,384,3231,26,34,115,468,1094,1186,631,2166,120
26,AL,Elmore,32.6010112,-86.6807365,6594,5552,1041,5248,933,68,352,318,1620,2435,2219,4674,248
27,AL,Escambia,32.6010112,-86.6807365,2118,1922,195,1457,470,28,162,174,865,775,302,1293,413
28,AL,Etowah,32.6010112,-86.6807365,6797,6213,584,5766,862,17,160,425,2162,2932,1276,4899,375
29,AL,Fayette,32.6010112,-86.6807365,1087,1016,71,946,126,0,14,61,537,267,220,507,0
30,AL,Franklin,32.6010112,-86.6807365,1330,1174,155,1125,48,78,113,223,396,611,98,760,54
31,AL,Geneva,32.6010112,-86.6807365,2382,2204,177,2095,180,93,36,212,793,895,478,1602,23
32,AL,Greene,32.6010112,-86.6807365,457,298,158,110,346,0,0,53,152,215,33,62,0
33,AL,Hale,32.6010112,-86.6807365,809,716,92,380,428,0,0,105,422,158,122,576,125
34,AL,Henry,32.6010112,-86.6807365,1247,1070,176,906,303,29,19,99,380,490,276,737,0
35,AL,Houston,32.6010112,-86.6807365,7889,7171,718,5986,1586,115,242,384,1982,3498,2023,5716,315
36,AL,Jackson,32.6010112,-86.6807365,2772,2630,141,2518,128,2,122,312,860,1172,426,1994,185
37,AL,Jefferson,32.6010112,-86.6807365,36789,33120,3668,19250,16751,297,643,2038,9748,15000,10000,25912,2199
38,AL,Lamar,32.6010112,-86.6807365,757,722,35,674,35,0,48,77,317,238,123,469,0
39,AL,Lauderdale,32.6010112,-86.6807365,6002,5583,417,5246,471,125,165,359,2217,1952,1473,4130,183
40,AL,Lawrence,32.6010112,-86.6807365,1533,1451,81,1269,140,2,119,192,579,588,173,1012,24
41,AL,Lee,32.6010112,-86.6807365,9950,9002,948,6741,2417,448,425,689,2173,4012,3074,6825,468
42,AL,Limestone,32.6010112,-86.6807365,7168,6506,661,6247,603,180,199,340,2181,2553,2092,5073,71
43,AL,Lowndes,32.6010112,-86.6807365,300,258,41,105,195,0,0,36,132,48,81,109,0
